"Unique ID","String Flags","Speaker","Japanese","English Translation"
"400000","3435921409","","……あんたたち、シグルスね。","...You lot, Sigurds, right?"
"400001","3435921409","","そうだけど……おまえらも、か？","That’s right...you too?"
"400002","3435921409","","シグルス候補、ね。",""
"400003","3435921409","","さすが探知魔導器（トパズブラスティア）、
フラッグ探しもこれにお任せね。",""
"400004","3435921409","","探知魔導器（トパズブラスティア）……？",""
"400005","3435921409","","そんなそっけない名前で呼ばないで。
シヴァって名前があるんだから。",""
"400006","3435921409","","シヴァって……
あ、そっか、あなたにとって
それは大切な子、なんだね？",""
"400007","3435921409","","そういうこと。
……何よ、あんたなかなか
物分りいいわね。",""
"400008","3435921409","","……でも、だからって、
手加減はしないわよ。",""
"400009","3435921409","","ちょっと……何すんだ！",""
"400010","3435921409","","あなたたちの持ってるフラッグは
私たちがいただくわよ。",""
"400011","3435921409","","ちっ……そういうことか。
しょうがねぇ……
コレット、行くぜ。",""
"400012","3435921409","","うん、シグルスの宿命、だもんね。",""
"400013","3435921409","","……くっ……負けた……",""
"400014","3435921409","","……あれ……？",""
"400015","3435921409","","どしたの？",""
"400016","3435921409","","おまえ、どこかで
会わなかったか？",""
"400017","3435921409","","あら、古典的な口説き文句ね。",""
"400018","3435921409","","なに、このマセガキ。",""
"400019","3435921409","","ち、違うって！
マジで、どこかで会った気が
するんだけど……",""
"400020","3435921409","","気のせいじゃないかしら。",""
"400021","3435921409","","……ね？",""
"400022","3435921409","","別にどうでもいいわ。もっと
弱っちいシグルスを
探しに行くわよ。",""
"400023","3435921409","","それじゃあね。",""
"400024","3435921409","","どこで会ったのかな……？",""
"400025","3435921409","","あの人、キレイだったね～。",""
"400026","3435921409","","え？　あ、ああ……",""
"400027","3435921409","","おっぱいもおっきかった……",""
"400028","3435921409","","お、おまえもすぐ、
あれくらいにはなるさ。",""
"400029","3435921409","","……そうかなぁ……",""
"400030","3435921409","","た、たぶんな……
さ、行くぞ！",""
"400031","3435921409","","コレットは
　　称号　『ぺったんこ』
を手に入れました。",""
"400100","3435921409","","あ、前にも会ったよね？",""
"400101","3435921409","","……何だっけ？　こいつら。",""
"400102","3435921409","","この子、人の顔覚えるの
苦手なの。",""
"400103","3435921409","","苦手なわけじゃないわよ。
興味ないヤツの顔覚えておく
必要性を感じないだけ。",""
"400104","3435921409","","大体、こいつだって、
あんたの顔、忘れてたでしょ。",""
"400105","3435921409","","いや、それは…",""
"400106","3435921409","","あっ……思い出した……！
……いや、でも……アレ……？
違う、か……",""
"400107","3435921409","","ところで、
フラッグ集まった？",""
"400108","3435921409","","残念ながら、
まだひとつも。",""
"400109","3435921409","","ここでもう一戦
やるってのも手よね。",""
"400110","3435921409","","いいぜ。何回やっても
一緒だと思うけどな。",""
"400111","3435921409","","今度こそ勝って、
フラッグをいただくわ。",""
"400112","3435921409","","また負けた…っての…？",""
"400113","3435921409","","待てよ。
おまえたちとの勝負は
もうついてんだろ？",""
"400114","3435921409","","二度以上、戦っちゃいけない
なんてルールでもあんの？",""
"400115","3435921409","","そんなのないけど……",""
"400116","3435921409","","ね、どうしてフラッグが
欲しいの？",""
"400117","3435921409","","どうしてって……新型魔導器（ブラスティア）の
開発のために『大いなる実り』から得られる
エネルギーが必要だからよ。",""
"400118","3435921409","","新型魔導器（ブラスティア）？
そんなもん作って、
何になるんだ？",""
"400119","3435921409","","例えば、ほんの少しの水や肥料で、
多くの野菜や果物が作れたり、",""
"400120","3435921409","","多くの食糧を一気に加工したり、
遠くへ早く運んだり、かしらね？",""
"400121","3435921409","","まぁ、そういうことも
できるかもね。",""
"400122","3435921409","","世界の人たちを救うため
ってことなんだね。",""
"400123","3435921409","","へえ……そっか……
こんな子どもなのに、
エライんだな。",""
"400124","3435921409","","こ、子どもとか言わないでくれる！？
それに世界がどうとか、
そんなんじゃないわ。",""
"400125","3435921409","","え？　違うの？",""
"400126","3435921409","","あたしは、あたしの
作りたいものを作ってる。
ただそれだけよ。",""
"400127","3435921409","","素直じゃない子。",""
"400128","3435921409","","そっか……
じゃあ、想いは
俺たちと同じなんだな。",""
"400129","3435921409","","いや……だから、
そうじゃなくて……",""
"400130","3435921409","","心配しないでいいよ。
必ず『大いなる実り』を
持ち帰るから。",""
"400131","3435921409","","他の国にもエネルギーを
分けるよう、王様に頼むよ。",""
"400132","3435921409","","シグルスの言うことなら、
聞いてくれるだろうし。",""
"400133","3435921409","","何、こいつら……
まったく、もう……",""
"400134","3435921409","","……ふん！　行くわよ！",""
"400135","3435921409","","またね。",""
"400136","3435921409","","……ね、ロイド。
結局、あの人とどこで会ったのか、
わかった？",""
"400137","3435921409","","いや……
５年前に、街の城壁が爆破されて、
崩れた事故があっただろ。",""
"400138","3435921409","","うん……覚えてる……
ロイドも崩れた石の
下敷きになって……",""
"400139","3435921409","","あの時に俺を助けてくれた兵士が
あの人だった……気がするんだ。",""
"400140","3435921409","","あの後、俺、気絶しちゃって、
あんまりよく覚えてないんだけど……
他人の空似かな……",""
"400141","3435921409","","……自由都市連合（ダイン）の人だって、
言ってたもんね。",""
"400142","3435921409","","……ま、いっか。
次に会う機会があったら、
聞いてみりゃいいか。",""
"400143","3435921409","","そだね。
もし、そうだとしたら、
命の恩人だもんね。",""
"400144","3435921409","","望むところだ！",""
"400145","3435921409","","待てよ",""
"400200","3435921409","","……待ってたよ。",""
"400201","3435921409","","おまえ……
まだあきらめないのか？",""
"400202","3435921409","","あたりまえさ！",""
"400203","3435921409","","コハクの笑顔を
あきらめられるはずがない!!",""
"400204","3435921409","","シング……",""
"400205","3435921409","","やめて、ロイド。
この人は、もうボロボロだよ。",""
"400206","3435921409","","…………",""
"400207","3435921409","","いや、こういう奴は
思い知らせておいた方がいい。",""
"400208","3435921409","","手を出すなよ、コレット。
俺がケリをつける。",""
"400209","3435921409","","ロイド……",""
"400210","3435921409","","下がってて、コハク。",""
"400211","3435921409","","悪いが、先を急ぐんだ。
二度と邪魔できないようにしてやるぜ。",""
"400212","3435921409","","やれるもんならやってみろ！",""
"400213","3435921409","","まだ……だ……
まだオレは戦える。",""
"400214","3435921409","","もうやめて……シング……",""
"400215","3435921409","","言ったよな、二度と邪魔
できないようにしてやるって。",""
"400216","3435921409","","いや……やめて……",""
"400217","3435921409","","こ、来い！",""
"400218","3435921409","","とどめだっ!!",""
"400219","3435921409","","やめてぇーーーっっ!!",""
"400220","3435921409","","わかったか、シング。
その子の中には、こんなに強い
おまえへの想いがあるんだぜ。",""
"400221","3435921409","","あんまり、一人で突っ走るなよ。",""
"400222","3435921409","","シング……
無茶したら……やだよ……",""
"400223","3435921409","","ロイド……
コハクの感情を呼び起こすために
とどめを刺すふりを？",""
"400224","3435921409","","まーな。
ふたりが心を合わせなきゃ、
この子の笑顔は戻らないと思ってさ。",""
"400225","3435921409","","……って、いつまで
しがみついてるんだ、コレット？",""
"400226","3435921409","","えへへ……
ロイド、ちょっと怖かったから……",""
"400227","3435921409","","へへ、どうだ？
迫真の演技だったろ？",""
"400228","3435921409","","なんだか胸が……熱い……！",""
"400229","3435921409","","なんだ、この光は……!?",""
"400230","3435921409","","南の空を指してる……",""
"400231","3435921409","","コハクが感情を無くした
手がかりかもしれないね？",""
"400232","3435921409","","ああ、そうかも！
光が指した先に行ってみるよ。",""
"400233","3435921409","","行こう、コハク！",""
"400234","3435921409","","……うん。",""
"400235","3435921409","","……あの子の笑顔
戻るといいね。",""
"400236","3435921409","","あいつらなら、
きっと大丈夫さ。",""
"400237","3435921409","","ロイドは
　　称号　『演技派剣士』
を手に入れました。",""
"400300","3435921409","","それでさぁ……",""
"400301","3435921409","","あ、ロイド！
前、危ないっ！",""
"400302","3435921409","","あ！　ゴ、ゴメン！
大丈夫か？",""
"400303","3435921409","","…………",""
"400304","3435921409","","あ、あの……",""
"400305","3435921409","","いや、大丈夫だ。",""
"400306","3435921409","","…………",""
"400307","3435921409","","貴様がアステルか？",""
"400308","3435921409","","アステルは今いない。
何だ、おまえは。",""
"400309","3435921409","","ちっ、逃げやがったな。",""
"400310","3435921409","","わけのわからぬことを……
どうしてアステルが逃げねばならない。",""
