"Unique ID","String Flags","Category","Japanese","English Translation","Comments"
"1000","3435921409","","$SCC000$","$SCC000$",""
"1001","3435921409","","$SCC001$","$SCC001$",""
"1002","3435921409","","$SCC002$","$SCC002$",""
"1003","3435921409","","$SCC003$","$SCC003$",""
"1004","3435921409","","$SCC004$","$SCC004$",""
"1005","3435921409","","$SCC005$","$SCC005$",""
"1006","3435921409","","$SCC006$","$SCC006$",""
"1007","3435921409","","$SCC007$","$SCC007$",""
"1008","3435921409","","$SCC008$","$SCC008$",""
"1009","3435921409","","$SCC009$","$SCC009$",""
"1010","3435921409","","$SCC010$","$SCC010$",""
"1011","3435921409","","$SCC011$","$SCC011$",""
"1012","3435921409","","$SCC012$","$SCC012$",""
"1013","3435921409","","$SCC013$","$SCC013$",""
"1014","3435921409","","$SCC014$","$SCC014$",""
"1015","3435921409","","$SCC015$","$SCC015$",""
"1016","3435921409","","$SCC016$","$SCC016$",""
"1017","3435921409","","$SCC017$","$SCC017$",""
"1018","3435921409","","$SCC018$","$SCC018$",""
"1019","3435921409","","$SCC019$","$SCC019$",""
"1020","3435921409","","$SCC020$","$SCC020$",""
"1021","3435921409","","$SCC021$","$SCC021$",""
"1022","3435921409","","$SCC022$","$SCC022$",""
"1023","3435921409","","$SCC023$","$SCC023$",""
"1024","3435921409","","$SCC024$","$SCC024$",""
"1025","3435921409","","$SCC025$","$SCC025$",""
"1026","3435921409","","$SCC026$","$SCC026$",""
"1027","3435921409","","$SCC027$","$SCC027$",""
"1028","3435921409","","$SCC028$","$SCC028$",""
"1029","3435921409","","$SCC029$","$SCC029$",""
"1030","3435921409","","$SCC030$","$SCC030$",""
"1031","3435921409","","$SCC031$","$SCC031$",""
"1032","3435921409","","$SCC032$","$SCC032$",""
"1033","3435921409","","$SCC033$","$SCC033$",""
"1034","3435921409","","$SCC034$","$SCC034$",""
"1035","3435921409","","$SCC035$","$SCC035$",""
"1036","3435921409","","$SCC036$","$SCC036$",""
"1037","3435921409","","$SCC037$","$SCC037$",""
"1038","3435921409","","$SCC038$","$SCC038$",""
"1039","3435921409","","$SCC039$","$SCC039$",""
"1040","3435921409","","$SCC040$","$SCC040$",""
"1041","3435921409","","$SCC041$","$SCC041$",""
"1042","3435921409","","$SCC042$","$SCC042$",""
"1043","3435921409","","$SCC043$","$SCC043$",""
"1044","3435921409","","$SCC044$","$SCC044$",""
"1045","3435921409","","$SCC045$","$SCC045$",""
"1046","3435921409","","$SCC046$","$SCC046$",""
"1047","3435921409","","$SCC047$","$SCC047$",""
"1048","3435921409","","$SCC048$","$SCC048$",""
"1049","3435921409","","$SCC049$","$SCC049$",""
"1050","3435921409","","$SCC050$","$SCC050$",""
"1051","3435921409","","$SCC051$","$SCC051$",""
"1052","3435921409","","$SCC052$","$SCC052$",""
"1053","3435921409","","$SCC053$","$SCC053$",""
"1054","3435921409","","$SCC054$","$SCC054$",""
"1055","3435921409","","$SCC055$","$SCC055$",""
"1056","3435921409","","$SCC056$","$SCC056$",""
"1057","3435921409","","$SCC057$","$SCC057$",""
"1058","3435921409","","$SCC058$","$SCC058$",""
"1059","3435921409","","$SCC059$","$SCC059$",""
"1060","3435921409","","$SCC060$","$SCC060$",""
"1061","3435921409","","$SCC061$","$SCC061$",""
"1062","3435921409","","$SCC062$","$SCC062$",""
"1063","3435921409","","$SCC063$","$SCC063$",""
"1064","3435921409","","$SCC064$","$SCC064$",""
"1065","3435921409","","$SCC065$","$SCC065$",""
"1066","3435921409","","$SCC066$","$SCC066$",""
"1067","3435921409","","$SCC067$","$SCC067$",""
"1068","3435921409","","$SCC068$","$SCC068$",""
"1069","3435921409","","$SCC069$","$SCC069$",""
"1070","3435921409","","$SCC070$","$SCC070$",""
"1071","3435921409","","$SCC071$","$SCC071$",""
"1072","3435921409","","$SCC072$","$SCC072$",""
"1073","3435921409","","$SCC073$","$SCC073$",""
"1074","3435921409","","$SCC074$","$SCC074$",""
"1075","3435921409","","$SCC075$","$SCC075$",""
"1076","3435921409","","$SCC076$","$SCC076$",""
"1077","3435921409","","$SCC077$","$SCC077$",""
"1078","3435921409","","$SCC078$","$SCC078$",""
"1079","3435921409","","$SCC079$","$SCC079$",""
"1080","3435921409","","$SCC080$","$SCC080$",""
"1081","3435921409","","$SCC081$","$SCC081$",""
"1082","3435921409","","$SCC082$","$SCC082$",""
"1083","3435921409","","$SCC083$","$SCC083$",""
"1084","3435921409","","$SCC084$","$SCC084$",""
"1085","3435921409","","$SCC085$","$SCC085$",""
"1086","3435921409","","$SCC086$","$SCC086$",""
"1087","3435921409","","$SCC087$","$SCC087$",""
"1088","3435921409","","$SCC088$","$SCC088$",""
"1089","3435921409","","$SCC089$","$SCC089$",""
"1090","3435921409","","$SCC090$","$SCC090$",""
"1091","3435921409","","$SCC091$","$SCC091$",""
"1092","3435921409","","$SCC092$","$SCC092$",""
"1093","3435921409","","$SCC093$","$SCC093$",""
"1094","3435921409","","$SCC094$","$SCC094$",""
"1095","3435921409","","$SCC095$","$SCC095$",""
"1096","3435921409","","$SCC096$","$SCC096$",""
"1097","3435921409","","$SCC097$","$SCC097$",""
"1098","3435921409","","$SCC098$","$SCC098$",""
"1099","3435921409","","$SCC099$","$SCC099$",""
"5000","3435921409","","TALES OF VS.","TALES OF VS.",""
"5001","3435921409","","システムデータ","System Data",""
"5002","3435921409","","ネットワーク連動データ","Network-Linked Data",""
"5003","3435921409","","　　プレイ時間：$SCC001$
　プレイヤー名：$SCC002$
　　　　難易度：$SCC003$
　　所持ガルド：$SCC004$","Playtime: $SCC001$
Player name: $SCC002$
Difficulty: $SCC003$
Current Gald: $SCC004$",""
"5004","3435921409","","　ネットワーク連動でダウンロードした
　スペシャルバトルデータです。","Special battle data downloaded
through network linkage.",""
"5100","3435921409","Story mode","ロイド＆コレット編","Lloyd ＆ Colette Arc",""
"5101","3435921409","Story mode","クレス＆クラトス編","Cress ＆ Kratos Arc",""
"5102","3435921409","Story mode","リオン＆カイル編","Leon ＆ Kyle Arc",""
"5103","3435921409","Story mode","スタン編","Stahn Arc",""
"5104","3435921409","Story mode","ルーク＆ティア編","Luke ＆ Tear Arc",""
"5105","3435921409","Story mode","ジェイド＆アニス編","Jade ＆ Anise Arc",""
"5106","3435921409","Story mode","ユーリ＆ファラ編","Yuri ＆ Farah Arc",""
"5107","3435921409","Story mode","マオ＆カイウス編","Mao ＆ Caius Arc",""
"5108","3435921409","Story mode","ダオス編","Dhaos Arc",""
"6000","3435921409","Map Screen","エディット","Edit",""
"6001","3435921409","Map Screen","ショップ","Shop",""
"6002","3435921409","Map Screen","セーブ","Save",""
"6003","3435921409","Map Screen","ロード","Load",""
"6004","3435921409","Map Screen","データ削除","Erase",""
"6005","3435921409","Map Screen","オプション","Option",""
"6010","3435921409","Map Screen","プレイヤー操作：$SCC001$","Player Operation: $SCC001$",""
"6011","3435921409","Map Screen","セットGP $SCC002$ / 総GP $SCC003$
バトルランク $SCC005$
SP $SCC006$ / $SCC007$","Set GP: $SCC002$ /Total GP: $SCC003$
Battle Rank: $SCC005$
SP: $SCC006$ / $SCC007$",""
"6012","3435921409","Map Screen","所持ガルド $SCC008$","Current Gald: $SCC008$",""
